,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
FADD282,0.016654049962149885,4.7182466662784595e-29,1.9980522699892118e+90,0.0005316766505390927,0.001416727482366039
PPSE1,0.07267221801665405,4.7182466662784595e-29,1.0686427681675008e-05,0.00031687357296825375,1.4600738752826142e-05
PPSE2,0.07267221801665405,4.7182466662784595e-29,1.0713017022117572e-05,0.000316873572970477,1.4600738752826142e-05
PPSE3,0.07342922028766086,4.7182466662784595e-29,2.3715083266220462,0.00016805091668843088,1.4600738752826142e-05
PPSE4,0.07342922028766086,4.7182466662784595e-29,4.743016651901825,0.00016805091669065418,1.4600738752826142e-05
PPSE5,0.07267221801665405,4.7182466662784595e-29,1.0766196362916424e-05,0.0003168735719699868,1.4600738752826142e-05
PPSE6,0.07267221801665405,4.7182466662784595e-29,1.0872556364341535e-05,0.0003168735719700126,1.4600738752826142e-05
FADD284,0.04996214988644966,4.7182466662784595e-29,6.626713955372517e+33,0.000830809798597703,4.875597372071173e-06
TESA4,0.1271763815291446,4.7182466662784595e-29,8.89683376297926e+47,0.0003955003267805329,0.0007407431205212171
PAPA52,0.0174110522331567,4.7182466662784595e-29,0.0021574564723694173,0.0003129200285116996,0.0021650522357763266
PAPA51,0.0174110522331567,4.7182466662784595e-29,0.0014440391806023903,0.00031292002851177644,0.0014516349440092998
