Rv0284	GO:0003677;GO:0007049;GO:0051301;GO:0007059;GO:0016021;GO:0017111;GO:0005886;GO:0005524
Rv0283	GO:0005886;GO:0016021
Rv0290	GO:0005886;GO:0016021
Rv0316	GO:0016853;GO:0006725
Rv0292	GO:0005886;GO:0016021
Rv0294	GO:0008152;GO:0030798;GO:0005737
Rv0364	GO:0005886;GO:0016021
Rv0303	GO:0055114;GO:0016491
Rv0298	GO:0006355;GO:0003677
Rv0300	GO:0006355;GO:0003677
Rv0326	GO:0008168;GO:0008152
Rv0308	GO:0016020;GO:0003824
Rv0312	GO:0005524
Rv0315	GO:0004553;GO:0005975
Rv0499	GO:0004143;GO:0007205
Rv0318c	GO:0046873;GO:0030001;GO:0055085;GO:0016020
Rv0319	GO:0005737;GO:0006508;GO:0016920;GO:0008234
Rv0321	GO:0006229;GO:0005515;GO:0009220;GO:0008829
Rv0322	GO:0003979;GO:0055114;GO:0051287
Rv0351	GO:0051087;GO:0005739;GO:0006457;GO:0042803;GO:0030150;GO:0006950;GO:0000774
Rv0327c	GO:0020037;GO:0004497;GO:0055114;GO:0009055
Rv0328	GO:0006350;GO:0003700;GO:0006355
Rv0329c	GO:0008168;GO:0008152
Rv0330c	GO:0006350;GO:0003700;GO:0006355
Rv0336	GO:0003676;GO:0004519
Rv0337c	GO:0004069;GO:0009058;GO:0005737;GO:0030170;GO:0016847
Rv0365c	GO:0003824
Rv0342	GO:0003924;GO:0016021;GO:0005886;GO:0046677;GO:0005525
Rv0366c	GO:0001906;GO:0005524
Rv1061	GO:0006541;GO:0009113;GO:0004044
Rv0350	GO:0006457;GO:0006950;GO:0051082;GO:0005524
Rv0353	GO:0006355;GO:0006950;GO:0003700;GO:0000166
Rv0359	GO:0006508;GO:0004222
Rv0363c	GO:0006096;GO:0008270;GO:0004332
Rv0369c	GO:0016491;GO:0055114
Rv0370c	GO:0016887;GO:0055114;GO:0016491;GO:0005524
Rv0374c	GO:0009055;GO:0051536;GO:0046872;GO:0055114;GO:0018492
Rv0375c	GO:0018492;GO:0055114;GO:0050660
Rv2208	GO:0009236;GO:0015420;GO:0016021;GO:0005886;GO:0008818
Rv0380c	GO:0008173;GO:0006396;GO:0003723
Rv0385	GO:0004497;GO:0055114;GO:0019825;GO:0015671;GO:0005344;GO:0020037
Rv0386	GO:0006915;GO:0009190;GO:0006952;GO:0005622;GO:0016849;GO:0006355;GO:0043565;GO:0003700;GO:0000156;GO:0000160;GO:0005524
Rv0391	GO:0016829;GO:0030170;GO:0006520
Rv0392c	GO:0003954;GO:0055114;GO:0050660
Rv0402c	GO:0005886;GO:0016021
Rv0403c	GO:0005886;GO:0016021
Rv0405	GO:0009058;GO:0048037;GO:0016788;GO:0031177;GO:0016740;GO:0000036
Rv0406c	GO:0016787
Rv0409	GO:0008776;GO:0005737;GO:0006082;GO:0016310;GO:0005524
Rv0411c	GO:0006810;GO:0005215;GO:0030288
Rv1117	GO:0005737;GO:0016491;GO:0017000
Rv0410c	GO:0006468;GO:0004674;GO:0005524
Rv0415	GO:0055114;GO:0016491;GO:0050660
Rv0416	GO:0006790
Rv0456c	GO:0016853;GO:0008152;GO:0004300
Rv1417	GO:0005886;GO:0016021
Rv0419	GO:0004177
Rv0420c	GO:0016021
Rv0422c	GO:0008902;GO:0008972;GO:0009228;GO:0005524
Rv0506	GO:0016021
Rv1418	GO:0005886;GO:0016021
Rv2111c	GO:0070490;GO:0019941
Rv0426c	GO:0016021
Rv0429c	GO:0042586;GO:0006412;GO:0005506
Rv0432	GO:0055114;GO:0005886;GO:0004784;GO:0006801;GO:0046872
Rv1676	GO:0016491;GO:0016209
Rv0436c	GO:0003882;GO:0016021;GO:0008654;GO:0005886;GO:0046341
Rv0438c	GO:0046872;GO:0016740;GO:0006777
Rv0456A	GO:0003677
Rv0444c	GO:0005886;GO:0016021
Rv0462	GO:0016209;GO:0045454;GO:0005737;GO:0004148;GO:0006096;GO:0055114;GO:0050660
Rv0446c	GO:0016021;GO:0006629;GO:0016627;GO:0005737
Rv0451c	GO:0016021
Rv0452	GO:0006350;GO:0003700;GO:0006355
Rv0457c	GO:0004252;GO:0006508
Rv0458	GO:0055114;GO:0004029
Rv0468	GO:0050662;GO:0006631;GO:0055114;GO:0008691
Rv0469	GO:0008610;GO:0008825
Rv0476	GO:0016021
Rv0470A	GO:0004659;GO:0016021
Rv0473	GO:0016021
Rv0474	GO:0043565;GO:0006350;GO:0045449
Rv0504c	GO:0016491;GO:0008152
Rv0478	GO:0005737;GO:0009264;GO:0004139;GO:0016052
Rv0479c	GO:0005886;GO:0016021
Rv0496	GO:0016787
Rv0518	GO:0016787
Rv1337	GO:0005886;GO:0016021
Rv0483	GO:0016787;GO:0016021;GO:0009252;GO:0008360;GO:0016757;GO:0007047
Rv0484c	GO:0055114;GO:0016491
Rv0497	GO:0005886;GO:0016021
Rv0489	GO:0006096;GO:0046538
Rv1322A	GO:0016702
Rv2014	GO:0004803;GO:0006313;GO:0003677
