,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
EX_h_LPAREN_e_RPAREN_,0.03963963963963964,0.4324356083463016,0.0017969276760981,0.00034453775349118157,0.0030318003184250752,0.0017969276760980996
EX_hdca_LPAREN_e_RPAREN_,0.0018018018018018018,0.3748754187124306,0.0017969276760981003,0.0003954670309464238,6.956657739862997e-05,0.0017969276760981003
EX_his_L_LPAREN_e_RPAREN_,0.0018018018018018018,0.37449393083721444,0.0017969276760980996,0.0003954689921456038,6.940818645290952e-05,0.0017969276760981011
EX_id3acald_LPAREN_e_RPAREN_,0.0018018018018018018,0.27387946120270606,0.0017969276760981,0.0006879000001836339,1.2447782424329924e-07,0.0017969276760980996
EX_ile_L_LPAREN_e_RPAREN_,0.0018018018018018018,0.37462100716257485,0.0017969276760980992,0.0003954756963216809,6.941495239419878e-05,0.0017969276760981011
EX_k_LPAREN_e_RPAREN_,0.0036036036036036037,0.4041025285900835,0.0017969276760980992,0.0003801161433166079,0.00015084926030253503,0.0017969276760981003
EX_lac_L_LPAREN_e_RPAREN_,0.002702702702702703,0.3751301760476073,0.0017969276760981,0.00033440599707405366,0.00013900381262737312,0.0017969276760980996
EX_lcts_LPAREN_e_RPAREN_,0.0018018018018018018,0.403069772949291,0.0017969276760981011,0.0003953530928821681,8.104753374143186e-05,0.0017969276760981011
EX_leu_L_LPAREN_e_RPAREN_,0.0018018018018018018,0.37462100716257485,0.0017969276760980992,0.0003954756884127647,6.941505454593583e-05,0.0017969276760981016
EX_lys_L_LPAREN_e_RPAREN_,0.0018018018018018018,0.2967763731473409,0.001796927676098097,0.00045001387297783973,9.758257148842822e-07,0.001796927676098098
EX_mal_L_LPAREN_e_RPAREN_,0.0018018018018018018,0.37474816975835307,0.0017969276760981007,0.0003954681320314713,6.951478067988682e-05,0.0017969276760981
EX_malt_LPAREN_e_RPAREN_,0.0018018018018018018,0.40321698616074075,0.0017969276760981007,0.00039536236367920054,8.105133279833661e-05,0.0017969276760981016
EX_malthp_LPAREN_e_RPAREN_,0.0018018018018018018,0.40321698616074075,0.0017969276760981011,0.00039545750199982733,8.10479082056832e-05,0.0017969276760981016
EX_meoh_LPAREN_e_RPAREN_,0.0018018018018018018,0.25585355923710507,0.0017969276760981016,0.0006882771793383839,6.677469412850135e-08,0.0017969276760981007
EX_met_L_LPAREN_e_RPAREN_,0.0018018018018018018,0.40321698616074075,0.0017969276760981011,0.0003953695092275698,8.104952338453047e-05,0.0017969276760981011
EX_mg2_LPAREN_e_RPAREN_,0.0018018018018018018,0.28750211148648647,0.0017969276760981011,0.0006878279448512595,1.4413050417853878e-07,0.0017969276760981016
EX_na1_LPAREN_e_RPAREN_,0.002702702702702703,0.3750027541128085,0.0017969276760980992,0.00040796195372294863,6.980055518311655e-05,0.0017969276760981011
EX_nh4_LPAREN_e_RPAREN_,0.0018018018018018018,0.2978974927436881,0.0017969276760981022,0.0004052093780168874,3.973929704774487e-06,0.0017969276760981016
